#titel:Sveriges största bokhandlare
#fotnot:*Bokus köper personaltjänster. Oms. och Res. i mnkr. Förändring (Res) = förändring vinstmarginal i procentenheter.
Bolagsnamn,Ägare/Grupp,Ort,Bokslut,Anställda,Omsättning,Resultat,Vinstmarginal,Förändring (Oms),Förändring (Res)
Adlibris,Bonnier,Stockholm,dec 2025,300,1973.3,-56.1,-2.84,5.8,-3.2
Bokhandelsgruppen,Publikt,Stockholm,dec 2025,380,1483.1,129.7,8.75,6.3,0.3
Bokus*,Publikt,Stockholm,dec 2025,61,697.0,-28.6,-4.11,-3.2,-0.5
Pocket Shop,Adlibris,Stockholm,dec 2025,68,188.8,4.4,2.34,12.1,2.7
SF-Bokhandeln,Publikt,Stockholm,dec 2025,70,163.3,11.9,7.29,19.6,8.9
Campusbokhandeln,Adlibris,Stockholm,dec 2025,31,141.8,-5.9,-4.19,-14.5,-7.2
Killbergs Bokhandel,Franschise,Helsingborg,apr 2025,20,57.8,2.7,4.75,1.0,-0.5
Jure,Special,Stockholm,dec 2024,11,31.3,2.5,7.83,-12.3,-2.0
Göthes Bokhandel,Franschise,Stockholm,apr 2025,14,26.5,4.6,17.37,5.7,0.6
Farsta Bokhandel,Franschise,Farsta,apr 2026,6,21.3,2.5,11.86,7.1,5.8
The Uppsala English Bookshop,Special,Uppsala,jan 2026,13,20.1,1.7,8.26,-0.1,4.0
Bok & Kontorshandel i Närke,Franschise,Örebro,apr 2025,9,17.5,0.7,3.72,3.3,-0.4
RD Home,Ugglan,Boden,dec 2025,6,15.0,0.0,0.32,3.0,10.7
Göranssons Bok & Papper,Ugglan,Varberg,apr 2025,6,13.7,0.2,1.27,4.3,1.3
Linköpings Bokhandel,Ugglan,Linköping,dec 2025,4,13.1,0.0,0.00,4.0,0.0
Hedengrens,Obunden,Stockholm,aug 2025,6,12.6,-1.1,-8.64,11.0,-1.4
Dillbergska Bokhandeln,Ugglan,Kalmar,apr 2025,8,12.4,1.2,9.88,-3.8,-0.9
Ekbrandgruppen,Ugglan,Lysekil,apr 2025,8,12.2,-0.6,-4.64,-0.5,3.7
Söderbokhandeln,Obunden,Stockholm,dec 2025,6,11.9,0.6,5.46,11.6,2.0
Böcker & Blad på Torp,Ugglan,Uddevalla,jun 2025,7,11.6,1.0,8.73,6.7,0.3
Vängåvans Bok & Papper,Franschise,Sundsvall,apr 2025,7,11.2,0.2,1.36,4.5,1.8
Wessman & Pettersson,Ugglan,Visby,apr 2026,5,11.0,0.4,4.08,-0.7,-3.9
K. Larssons Bok & Papper,Franschise,Halmstad,apr 2025,4,10.4,0.5,4.69,0.9,-4.0
Nils Asp,Ugglan,Höllviken,dec 2025,4,10.2,-0.3,-2.58,11.2,-6.6
Hälsinge Bok,Ugglan,Söderhamn,apr 2025,6,10.0,-0.5,-4.61,-4.3,-10.7
Strömsunds Tobak & Bokhandel,Ugglan,Strömsund,aug 2025,3,9.9,0.0,0.22,-0.6,1.7
Söderslätts Bok & Papper,Ugglan,Trelleborg,apr 2025,5,9.9,-0.7,-7.03,-4.4,-7.7
Globe Bokhandel,Ugglan,Ludvika,aug 2025,6,9.9,0.9,9.61,2.6,2.7
Väsby Bokhandel,Ugglan,Upplands Väsby,apr 2025,5,9.7,0.3,2.67,10.2,0.6
Bokhandeln i Alingsås,Franschise,Alingsås,apr 2025,4,9.7,0.4,4.37,3.3,-0.7
NK Bokhandel,Obunden,Stockholm,apr 2025,5,8.8,-0.2,-1.88,-1.2,2.9
Nytt och Läst,Ugglan,Sandviken,apr 2025,5,8.5,0.2,2.47,-18.3,3.1
Kullbergs Bokhandel,Franschise,Nyköping,apr 2025,5,8.4,-0.3,-4.06,-2.5,-11.2
Interbok,Special,Stockholm,apr 2025,3,8.3,0.0,-0.10,29.9,-10.2
Tranås Bosättning,Ugglan,Tranås,sep 2025,4,8.0,0.1,1.04,1.5,0.5
Sök & Finn,Special,Malmö,dec 2024,5,7.9,-8.2,-102.64,-15.6,-44.0
Trosa Bokhandel,Ugglan,Trosa,dec 2025,2,7.7,0.9,11.98,5.6,0.7
Lindhska Bokhandeln,Ugglan,Örebro,apr 2025,3,7.7,0.3,3.28,-1.9,-0.4
Uppsala Bokhandel,Ugglan,Uppsala,aug 2025,4,7.6,0.2,2.70,-2.4,-1.6
Nya Bokhandeln i Valbo,Ugglan,Valbo,apr 2025,5,7.5,-0.2,-2.99,4.3,-0.5
Hübenettes Bokhandel,Ugglan,Östersund,apr 2025,4,7.4,0.0,0.15,-0.6,1.0
Mora Bokhandel,Franschise,Mora,apr 2025,3,7.4,-0.1,-1.82,-0.2,-5.6
Storge Sweden,Franschise,Strängnäs,apr 2025,4,6.9,0.4,5.71,6.5,-6.2
Bokakademin i Östergötland,Kurs,Linköping,jun 2025,3,6.9,-0.2,-2.62,-2.1,0.6
Eric Ericssons Bokhandel,Ugglan,Ljusdal,apr 2025,4,6.8,0.0,0.42,-6.0,1.7
Kiruna Bokhandel,Ugglan,Kiruna,dec 2025,4,6.8,0.3,5.07,7.9,-1.2
Höganäs Bokhandel,Ugglan,Höganäs,apr 2025,4,6.8,0.7,10.47,-2.8,7.2
En Annan Bokhandel,Ugglan,Johanneshov,apr 2025,4,6.8,-0.3,-3.98,2.0,3.8
Bysis Bok & Papper,Obunden,Stockholm,dec 2025,4,6.7,0.4,6.00,20.7,11.1
Aug. Jacobssons Bokhandel,Franschise,Arvika,apr 2025,5,6.5,-0.3,-4.37,0.8,-5.5
