#titel:De mest lönsamma (fysisk allmänbokhandel med oms. över 5 mnkr.)
#fotnot:Omsättning och resultat i mnkr. Resultat gäller efter finansnetto. LOH = lageromsättningshastighet
Bolagsnamn,Grupp,Ort,Bokslut,Anställda,Omsättning,Resultat,Vinstmarginal,LOH
Göthes Bokhandel,Franchise,Stockholm,apr 2025,14,26.5,4.6,17.4,6.04
Trosa Bokhandel,Ugglan,Trosa,dec 2025,2,7.7,0.9,12.0,3.87
Farsta Bokhandel,Franchise,Farsta,apr 2026,6,21.3,2.5,11.9,4.64
Axel Ericssons,Ugglan,Lidköping,apr 2025,3,6.1,0.7,11.7,3.79
Höganäs Bokhandel,Ugglan,Höganäs,apr 2025,4,6.8,0.7,10.5,1.62
Dillbergska bokhandeln,Ugglan,Kalmar,apr 2025,8,12.4,1.2,9.9,2.43
Globe bokhandel,Ugglan,Ludvika,aug 2025,6,9.9,0.9,9.6,1.21
Böcker & Blad på Torp,Ugglan,Uddevalla,jun 2025,7,11.6,1.0,8.7,2.67
Lundins Bokhandel,Ugglan,Karlshamn,okt 2025,3,6.3,0.5,8.5,0.99
Sigtuna Bokhandel,Ugglan,Sigtuna,jan 2025,3,5.1,0.4,7.1,2.08
Bjäre Bokhandel,Ugglan,Båstad,apr 2025,3,5.2,0.3,6.4,1.27
Bysis Bok & Papper,Obunden,Stockholm,apr 2025,4,6.7,0.4,6.0,1.69
Storge Sweden,Franchise,Strängnäs,apr 2025,4,6.9,0.4,5.7,1.52
Erik Hultgrens,Ugglan,Västervik,apr 2025,4,6.5,0.4,5.7,3.18
Söderbokhandeln,Obunden,Stockholm,dec 2025,6,11.9,0.6,5.5,4.41
Kiruna Bokhandel,Ugglan,Kiruna,apr 2025,4,6.8,0.3,5.1,2.22
Killbergs Bokhandel,Franchise,Helsingborg,apr 2025,20,57.8,2.7,4.7,2.47
K. Larssons Bok & Papper,Franchise,Halmstad,apr 2025,4,10.4,0.5,4.7,2.38
Bokhandeln i Alingsås,Franchise,Alingsås,apr 2025,4,9.7,0.4,4.4,2.63
Wessman & Pettersson,Ugglan,Visby,apr 2026,5,11.0,0.4,4.1,2.55
