#titel:Bokhandeln som krympte mest (bolag med Oms. över 5 mnkr.)
#fotnot:*Köper personaltjänster. Oms. och Res. i mnkr. Nedgång = förändring av omsättning jämfört med föregående år, i procent.
Bolagsnamn,Grupp,Ort,Bokslut,Anställda,Omsättning,Resultat,Nedgång procent
Campusbokhandeln,Kurs,Stockholm,dec 2025,31,141.8,-5.9,-14.5
Teknisk Högskolelitteratur,Kurs,Stockholm,jun 2025,2,5.1,-0.3,-9.7
Spongs Bokhandel,Ugglan,Karlskoga,apr 2025,3,5.4,0.0,-6.7
Eric Ericssons Bokhandel,Ugglan,Ljusdal,apr 2025,4,6.8,0.0,-6.0
Söderslätts Bok & Papper,Ugglan,Trelleborg,apr 2025,5,9.9,-0.7,-4.4
Hälsinge Bok,Ugglan,Söderhamn,apr 2025,6,10.0,-0.5,-4.3
Dillbergska Bokhandeln,Ugglan,Kalmar,apr 2025,8,12.4,1.2,-3.8
P.W. Karströms Bokhandel,Ugglan,Mariestad,apr 2025,4,5.2,-0.2,-3.7
Bokus*,Nät,Stockholm,dec 2025,61,697.0,-28.6,-3.2
Höganäs Bokhandel,Ugglan,Höganäs,apr 2025,4,6.8,0.7,-2.8
