#titel:Bokhandeln som växte mest (bolag med oms. över 5 mnkr.)
#fotnot:*föreg. bokslut 18 mån. Oms. och Res. i mnkr. Res. efter finansnetto. Tillväxt =  förändrad Oms. jfr.  föreg. år.
Bolagsnamn,Grupp,Ort,Bokslut,Anställda,Omsättning,Resultat,Tillväxt,Soliditet
Interbok*,Special,Stockholm,apr 2025,3,8.3,0.0,29.9,25
Bysis Bok & Papper,Obunden,Stockholm,dec 2025,4,6.7,0.4,20.7,37
SF-Bokhandeln,Special,Stockholm,dec 2025,70,163.3,11.9,19.6,33
M.adina,Ugglan,Habo,jan 2025,4,5.7,0.1,12.4,25
Pocket Shop,Övrigt,Stockholm,dec 2025,68,188.8,4.4,12.1,12
Söderbokhandeln,Obunden,Stockholm,dec 2025,6,11.9,0.6,11.6,35
Erik Hultgrens,Ugglan,Västervik,apr 2025,4,6.5,0.4,11.3,46
Nils Asp,Ugglan,Höllviken,dec 2025,4,10.2,-0.3,11.2,61
Hedengrens,Obunden,Stockholm,aug 2025,6,12.6,-1.1,11.0,23
Väsby Bokhandel,Ugglan,Upplands Väsby,apr 2025,5,9.7,0.3,10.2,52
