#titel:Så gick det för de litterära agenturerna
#fotnot:Bokslut från 241231, förutom *240831 och **250831
Agentur,Omsättning MNKR,Omsättning föreg år MNKR,Resultat MNKR,Resultat föreg år MNKR,Resultat procent,Antal anställda
Rights & Brands,275.7,273.4,18.4,13.1,6.7,38
Salomonsson Agency,59.4,58.9,19.1,14.6,32.2,30
Astrid Lindgren,57.0,63.6,7.6,16.9,13.3,14
Nordin Agency*,16.6,20.2,3.4,8.5,20.5,8
Albatros Agency*,9.0,70.2,-2.1,-3.9,-23.3,9
Paloma Agency,7.3,11.2,1.2,3.3,16.4,7
Grand Nordic Agency,7.1,5.5,1.5,1.1,21.1,6
Hedlund Agency**,5.6,3.9,1.3,0.1,23.2,1
Lennart Sane Agency,4.3,3.3,1.2,0.5,27.9,1
Brave New World Agency,3.9,3.7,-0.3,-0.1,-7.7,1
Enberg Literary Agency,3.9,2.9,1.1,0.1,28.2,2
Natur & Kultur Media i Stockholm,3.5,3.6,-0.5,-0.4,14.3,3
Lagercrantz Agency,2.0,3.8,-0.2,-0.6,-10.0,2
Bywrtrs,0.8,0.4,0.1,0.0,12.5,-
Kontext Agency of Scandinavia,0.6,0.7,0.0,0.0,0.0,1
