Boklådor i lönsamhetsklass ;;;;;;;
Fysisk allmänbokhandel med jämförbara butiker - Akademibokhandeln ingår inte.;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Resultat i % av omsättning;  Antal företag;Omsätt-ning 2025 mnkr;Brutto-vinst 2025 (%);Res. e. fin.netto 2025 (%);Förändr. i omsättn. m. 2024 (%);Förändr. i res.marg. m. 2024 (%-enh.);Andel av företagen 2025 (%)
>=6%;22;160;52,9%;11,0%;6,0%;3,1%;21,0%
4 och 5%;11;128;52,6%;4,9%;2,3%;-0,5%;10,5%
2 och 3%;17;102;50,1%;3,1%;0,7%;3,0%;16,2%
0 och 1%;24;135;47,2%;0,7%;0,0%;2,4%;22,9%
Minus 0-1%;9;40;48,8%;-1,5%;2,2%;-0,4%;8,6%
Minus 2-3%;11;51;48,1%;-2,8%;0,1%;-1,8%;10,5%
Minus 4-5%;7;49;53,2%;-4,5%;-1,8%;-4,1%;6,7%
>Minus 5%;4;27;49,2%;-8,7%;-0,8%;-6,8%;3,8%
;;;;;;;
Summa;105;691;50,6%;3,1%;1,8%;0,9%;100,0%
