Jämförelse 2025-2024;;;;;;;;
Franchise och Ugglan med inkomna bokslut från 202504 och 202506;;;;;;;;
;2025;2024;;2025;2024;;2025;2024
Bokhandelsgrupp;Franchise;Franchise;;Ugglan;Ugglan;;Summa;Summa
Antal bolag (st);   12;   12;;   49;   49;;   61;   61
Antal butiker /st);   18;   18;;   52;   52;;   70;   70
Antal anställda (st);   85;   81;;   161;   167;;   246;   248
Omsättning  (tkr);  186 736;183 075;;  277 557;  282 157;;  464 293;  465 232
Resultat efter finansnetto (tkr) ;  9 830;12 023;;  6 389;  4 725;;  16 219;  16 748
Resultat efter finansnetto  (%);5,26%;6,57%;;2,30%;1,67%;;3,49%;3,60%
Omsättning/anställd  (tkr);  2 197;  2 260;;  1 724;  1 690;;  1 887;  1 876
Förändring i Omsättning  (%);;2,00%;;;-1,63%;;;-0,20%
Förändring i Resultatmarginal (%-enheter);;-1,30%;;;0,63%;;;-0,11%
